"","Observations","Posterior","Candidate"
"88",1500,0,"SORENSEN Susan"
"89",1500,0.028,"WILLIAMS Toby"
"90",1500,0,"WRIGHT Sue"
"91",1600,0,"HRNJAK Ethan"
"92",1600,0,"MAWSON Greg"
"93",1600,0.984,"REGAN Michael"
"94",1600,0,"SORENSEN Susan"
"95",1600,0.016,"WILLIAMS Toby"
"96",1600,0,"WRIGHT Sue"
"97",1700,0,"HRNJAK Ethan"
"98",1700,0,"MAWSON Greg"
"99",1700,0.992,"REGAN Michael"
"100",1700,0,"SORENSEN Susan"
"101",1700,0.008,"WILLIAMS Toby"
"102",1700,0,"WRIGHT Sue"
"103",1800,0,"HRNJAK Ethan"
"104",1800,0,"MAWSON Greg"
"105",1800,0.996,"REGAN Michael"
"106",1800,0,"SORENSEN Susan"
"107",1800,0.004,"WILLIAMS Toby"
"108",1800,0,"WRIGHT Sue"
"109",1900,0,"HRNJAK Ethan"
"110",1900,0,"MAWSON Greg"
"111",1900,1,"REGAN Michael"
"112",1900,0,"SORENSEN Susan"
"113",1900,0,"WILLIAMS Toby"
"114",1900,0,"WRIGHT Sue"
"115",2000,0,"HRNJAK Ethan"
"116",2000,0,"MAWSON Greg"
"117",2000,1,"REGAN Michael"
"118",2000,0,"SORENSEN Susan"
"119",2000,0,"WILLIAMS Toby"
"120",2000,0,"WRIGHT Sue"
"121",2100,0,"HRNJAK Ethan"
"122",2100,0,"MAWSON Greg"
"123",2100,1,"REGAN Michael"
"124",2100,0,"SORENSEN Susan"
"125",2100,0,"WILLIAMS Toby"
"126",2100,0,"WRIGHT Sue"
"127",2200,0,"HRNJAK Ethan"
"128",2200,0,"MAWSON Greg"
"129",2200,1,"REGAN Michael"
"130",2200,0,"SORENSEN Susan"
"131",2200,0,"WILLIAMS Toby"
"132",2200,0,"WRIGHT Sue"
"133",2300,0,"HRNJAK Ethan"
"134",2300,0,"MAWSON Greg"
"135",2300,1,"REGAN Michael"
"136",2300,0,"SORENSEN Susan"
"137",2300,0,"WILLIAMS Toby"
"138",2300,0,"WRIGHT Sue"
"139",2400,0,"HRNJAK Ethan"
"140",2400,0,"MAWSON Greg"
"141",2400,0.998,"REGAN Michael"
"142",2400,0,"SORENSEN Susan"
"143",2400,0.002,"WILLIAMS Toby"
"144",2400,0,"WRIGHT Sue"
"145",2500,0,"HRNJAK Ethan"
"146",2500,0,"MAWSON Greg"
"147",2500,1,"REGAN Michael"
"148",2500,0,"SORENSEN Susan"
"149",2500,0,"WILLIAMS Toby"
"150",2500,0,"WRIGHT Sue"
"151",2600,0,"HRNJAK Ethan"
"152",2600,0,"MAWSON Greg"
"153",2600,1,"REGAN Michael"
"154",2600,0,"SORENSEN Susan"
"155",2600,0,"WILLIAMS Toby"
"156",2600,0,"WRIGHT Sue"
"157",2700,0,"HRNJAK Ethan"
"158",2700,0,"MAWSON Greg"
"159",2700,1,"REGAN Michael"
"160",2700,0,"SORENSEN Susan"
"161",2700,0,"WILLIAMS Toby"
"162",2700,0,"WRIGHT Sue"
"163",2800,0,"HRNJAK Ethan"
"164",2800,0,"MAWSON Greg"
"165",2800,1,"REGAN Michael"
"166",2800,0,"SORENSEN Susan"
"167",2800,0,"WILLIAMS Toby"
"168",2800,0,"WRIGHT Sue"
"169",2900,0,"HRNJAK Ethan"
"170",2900,0,"MAWSON Greg"
"171",2900,1,"REGAN Michael"
"172",2900,0,"SORENSEN Susan"
"173",2900,0,"WILLIAMS Toby"
"174",2900,0,"WRIGHT Sue"
"175",3000,0,"HRNJAK Ethan"
"176",3000,0,"MAWSON Greg"
"177",3000,1,"REGAN Michael"
"178",3000,0,"SORENSEN Susan"
"179",3000,0,"WILLIAMS Toby"
"180",3000,0,"WRIGHT Sue"
"181",3100,0,"HRNJAK Ethan"
"182",3100,0,"MAWSON Greg"
"183",3100,1,"REGAN Michael"
"184",3100,0,"SORENSEN Susan"
"185",3100,0,"WILLIAMS Toby"
"186",3100,0,"WRIGHT Sue"
"187",3200,0,"HRNJAK Ethan"
"188",3200,0,"MAWSON Greg"
"189",3200,1,"REGAN Michael"
"190",3200,0,"SORENSEN Susan"
